Time(s),DopplerOffset(Hz)
1770549553.178782,-33414.8359375
1770549554.178782,-33628.36328125
1770549555.178782,-33839.48828125
1770549556.178782,-34047.96875
1770549557.178782,-34257.1015625
1770549558.178782,-34464.2265625
1770549559.178782,-34667.93359375
1770549560.178782,-34870.62109375
1770549561.178782,-35070.90625
1770549562.178782,-35270.640625
1770549563.178782,-35470.56640625
1770549564.178782,-35666.3203125
1770549565.178782,-35861.3125
1770549566.178782,-36054.7265625
1770549567.178782,-36246.0859375
1770549568.178782,-36437.18359375
1770549569.178782,-36626.2265625
1770549570.178782,-36812.69921875
1770549571.178782,-36996.73046875
1770549572.178782,-37181.17578125
1770549573.178782,-37363.23046875
1770549574.178782,-37543.65234375
1770549575.178782,-37722.96484375
1770549576.178782,-37900.7265625
1770549577.178782,-38075.640625
1770549578.178782,-38250.140625
1770549579.178782,-38423.484375
1770549580.178782,-38595.38671875
1770549581.178782,-38764.62109375
1770549582.178782,-38932.6171875
1770549583.178782,-39099.97265625
1770549584.178782,-39266.05078125
1770549585.178782,-39430.8046875
1770549586.178782,-39593.1328125
1770549587.178782,-39754.17578125
1770549588.178782,-39912.05078125
1770549589.178782,-40069.96875
1770549590.178782,-40229.45703125
1770549591.178782,-40384.671875
1770549592.178782,-40539.02734375
1770549593.178782,-40691.09375
1770549594.178782,-40843.13671875
1770549595.178782,-40992.76171875
1770549596.178782,-41141.59765625
1770549597.178782,-41288.36328125
1770549598.178782,-41434.05859375
1770549599.178782,-41578.57421875
1770549600.178782,-41721.76953125
1770549601.178782,-41863.83984375
1770549602.178782,-42004.7421875
1770549603.178782,-42144.03515625
1770549604.178782,-42281.62109375
1770549605.178782,-42419.26953125
1770549606.178782,-42555.29296875
1770549607.178782,-42688.3515625
1770549608.178782,-42821.58984375
1770549609.178782,-42954.0625
1770549610.178782,-43084.609375
1770549611.178782,-43213.41796875
1770549612.178782,-43341.7421875
1770549613.178782,-43468.49609375
1770549614.178782,-43594.3359375
1770549615.178782,-43719.34765625
1770549616.178782,-43843.828125
1770549617.178782,-43966.98828125
1770549618.178782,-44086.953125
1770549619.178782,-44207.77734375
1770549620.178782,-44326.8671875
1770549621.178782,-44443.8984375
1770549622.178782,-44561.109375
1770549623.178782,-44676.78125
1770549624.178782,-44791.3828125
1770549625.178782,-44905.00390625
1770549626.178782,-45017.76171875
1770549627.178782,-45129.16796875
1770549628.178782,-45239.25390625
1770549629.178782,-45349.0703125
1770549630.178782,-45457.09375
1770549631.178782,-45565.12109375
1770549632.178782,-45671.42578125
1770549633.178782,-45777.484375
1770549634.178782,-45881.93359375
1770549635.178782,-45984.7734375
1770549636.178782,-46087.5234375
1770549637.178782,-46189.40234375
1770549638.178782,-46290.125
1770549639.178782,-46389.09375
1770549640.178782,-46488.03125
1770549641.178782,-46585.55859375
1770549642.178782,-46682.296875
1770549643.178782,-46777.8359375
1770549644.178782,-46872.859375
1770549645.178782,-46966.7265625
1770549646.178782,-47059.68359375
1770549647.178782,-47152.12890625
1770549648.178782,-47243.5
1770549649.178782,-47334.54296875
1770549650.178782,-47424.875
1770549651.178782,-47513.78125
1770549652.178782,-47601.81640625
1770549653.178782,-47688.91796875
1770549654.178782,-47775.90625
1770549655.178782,-47859.9296875
1770549656.178782,-47945.1796875
1770549657.178782,-48031.25
1770549658.178782,-48114.55859375
1770549659.178782,-48197.1015625
