Time(s),DopplerOffset(Hz)
1770477402.933515,-31193.123046875
1770477403.933515,-31445.6875
1770477404.933515,-31698.138671875
1770477405.933515,-31949.490234375
1770477406.933515,-32196.921875
1770477407.933515,-32441.775390625
1770477408.933515,-32685.83984375
1770477409.933515,-32926.375
1770477410.933515,-33165.54296875
1770477411.933515,-33403.21484375
1770477412.933515,-33637.82421875
1770477413.933515,-33870.7421875
1770477414.933515,-34100.828125
1770477415.933515,-34330.18359375
1770477416.933515,-34556.6875
1770477417.933515,-34781.84375
1770477418.933515,-35004.15234375
1770477419.933515,-35224.91796875
1770477420.933515,-35442.23828125
1770477421.933515,-35658.64453125
1770477422.933515,-35873.48828125
1770477423.933515,-36084.21484375
1770477424.933515,-36292.49609375
1770477425.933515,-36501.046875
1770477426.933515,-36707.16796875
1770477427.933515,-36911.76953125
1770477428.933515,-37112.83984375
1770477429.933515,-37313.1953125
1770477430.933515,-37512.75
1770477431.933515,-37708.73046875
1770477432.933515,-37902.75
1770477433.933515,-38094.3515625
1770477434.933515,-38283.99609375
1770477435.933515,-38472.8359375
1770477436.933515,-38660.23828125
1770477437.933515,-38844.89453125
1770477438.933515,-39027.42578125
1770477439.933515,-39208.8046875
1770477440.933515,-39388.33203125
1770477441.933515,-39564.0234375
1770477442.933515,-39739.19140625
1770477443.933515,-39913.98046875
1770477444.933515,-40085.17578125
1770477445.933515,-40255.546875
1770477446.933515,-40423.97265625
1770477447.933515,-40590.51953125
1770477448.933515,-40755.375
1770477449.933515,-40917.91796875
1770477450.933515,-41080.57421875
1770477451.933515,-41239.265625
1770477452.933515,-41397.08203125
1770477453.933515,-41554.140625
1770477454.933515,-41709.02734375
1770477455.933515,-41863.515625
1770477456.933515,-42015.5859375
1770477457.933515,-42166.6484375
1770477458.933515,-42314.765625
1770477459.933515,-42461.76953125
1770477460.933515,-42606.5625
1770477461.933515,-42750.48046875
1770477462.933515,-42893.41796875
1770477463.933515,-43033.7734375
1770477464.933515,-43172.9921875
1770477465.933515,-43311.35546875
1770477466.933515,-43448.40234375
1770477467.933515,-43582.9296875
1770477468.933515,-43717.5390625
1770477469.933515,-43850.171875
1770477470.933515,-43981.26953125
1770477471.933515,-44109.9921875
1770477472.933515,-44237.99609375
1770477473.933515,-44364.84765625
1770477474.933515,-44490.89453125
1770477475.933515,-44614.5234375
1770477476.933515,-44737.70703125
1770477477.933515,-44858.8046875
1770477478.933515,-44979.72265625
1770477479.933515,-45098.15234375
1770477480.933515,-45215.76171875
1770477481.933515,-45332.76953125
1770477482.933515,-45448.21484375
1770477483.933515,-45561.87109375
1770477484.933515,-45674.2421875
1770477485.933515,-45785.94140625
1770477486.933515,-45896.0
1770477487.933515,-46005.59765625
1770477488.933515,-46114.33984375
1770477489.933515,-46221.5234375
1770477490.933515,-46327.83984375
1770477491.933515,-46432.42578125
1770477492.933515,-46534.97265625
1770477493.933515,-46637.42578125
1770477494.933515,-46739.984375
1770477495.933515,-46840.0
1770477496.933515,-46939.796875
1770477497.933515,-47038.0703125
1770477498.933515,-47133.98828125
1770477499.933515,-47230.96875
1770477500.933515,-47325.4921875
1770477501.933515,-47419.67578125
1770477502.933515,-47513.55078125
1770477503.933515,-47605.60546875
1770477504.933515,-47696.2578125
1770477505.933515,-47786.234375
1770477506.933515,-47876.12890625
1770477507.933515,-47964.29296875
1770477508.933515,-48050.984375
1770477509.933515,-48138.12890625
1770477510.933515,-48223.0390625
1770477511.933515,-48307.84375
1770477512.933515,-48393.28125
1770477513.933515,-48476.375
1770477514.933515,-48558.0234375
1770477515.933515,-48639.18359375
1770477516.933515,-48718.6796875
1770477517.933515,-48798.92578125
1770477518.933515,-48877.76171875
1770477519.933515,-48955.01953125
1770477520.933515,-49032.0625
1770477521.933515,-49108.01171875
1770477522.933515,-49183.96875
1770477523.933515,-49259.04296875
1770477524.933515,-49332.23828125
1770477525.933515,-49405.78515625
1770477526.933515,-49477.75390625
1770477527.933515,-49548.85546875
1770477528.933515,-49620.203125
1770477529.933515,-49691.16015625
1770477530.933515,-49759.9765625
1770477531.933515,-49828.33984375
1770477532.933515,-49895.64453125
1770477533.933515,-49962.88671875
1770477534.933515,-50030.08984375
1770477535.933515,-50095.4609375
1770477536.933515,-50160.77734375
1770477537.933515,-50225.125
1770477538.933515,-50289.08203125
1770477539.933515,-50352.37109375
1770477540.933515,-50415.21875
1770477541.933515,-50476.3046875
1770477542.933515,-50537.515625
1770477543.933515,-50598.58203125
1770477544.933515,-50657.70703125
1770477545.933515,-50717.53125
1770477546.933515,-50776.48828125
1770477547.933515,-50834.421875
1770477548.933515,-50891.99609375
1770477549.933515,-50949.0546875
1770477550.933515,-51005.67578125
1770477551.933515,-51061.4453125
1770477552.933515,-51116.8515625
1770477553.933515,-51171.6640625
1770477554.933515,-51226.26953125
1770477555.933515,-51279.11328125
1770477556.933515,-51332.0703125
1770477557.933515,-51384.1875
1770477558.933515,-51436.37109375
1770477559.933515,-51486.53125
1770477560.933515,-51537.8359375
1770477561.933515,-51589.87890625
1770477562.933515,-51639.5625
1770477563.933515,-51687.6875
1770477564.933515,-51736.46484375
1770477565.933515,-51784.95703125
1770477566.933515,-51833.63671875
1770477567.933515,-51880.77734375
1770477568.933515,-51927.23046875
1770477569.933515,-51973.921875
1770477570.933515,-52018.98828125
1770477571.933515,-52064.66796875
1770477572.933515,-52110.875
1770477573.933515,-52155.20703125
1770477574.933515,-52199.24609375
1770477575.933515,-52243.12890625
