Time(s),DopplerOffset(Hz)
1770474455.7520509,-33288.4140625
1770474456.7520509,-33460.47265625
1770474457.7520509,-33630.89453125
1770474458.7520509,-33801.57421875
1770474459.7520509,-33970.25390625
1770474460.7520509,-34135.14453125
1770474461.7520509,-34298.9609375
1770474462.7520509,-34460.5625
1770474463.7520509,-34621.07421875
1770474464.7520509,-34780.45703125
1770474465.7520509,-34938.49609375
1770474466.7520509,-35095.94140625
1770474467.7520509,-35249.09765625
1770474468.7520509,-35402.41015625
1770474469.7520509,-35552.85546875
1770474470.7520509,-35703.59765625
1770474471.7520509,-35853.33203125
1770474472.7520509,-35999.6875
1770474473.7520509,-36143.1640625
1770474474.7520509,-36286.30078125
1770474475.7520509,-36428.28515625
1770474476.7520509,-36569.31640625
1770474477.7520509,-36707.28125
1770474478.7520509,-36845.69140625
1770474479.7520509,-36982.43359375
1770474480.7520509,-37117.67578125
1770474481.7520509,-37250.5546875
1770474482.7520509,-37381.8515625
1770474483.7520509,-37512.37890625
1770474484.7520509,-37641.69140625
1770474485.7520509,-37770.37890625
1770474486.7520509,-37897.26953125
1770474487.7520509,-38022.546875
1770474488.7520509,-38146.6171875
1770474489.7520509,-38268.60546875
1770474490.7520509,-38389.8515625
1770474491.7520509,-38510.52734375
1770474492.7520509,-38629.875
1770474493.7520509,-38748.03125
1770474494.7520509,-38864.1328125
1770474495.7520509,-38979.2578125
1770474496.7520509,-39092.9765625
1770474497.7520509,-39206.625
1770474498.7520509,-39319.83984375
1770474499.7520509,-39428.79296875
1770474500.7520509,-39538.484375
1770474501.7520509,-39647.0
1770474502.7520509,-39753.7421875
1770474503.7520509,-39859.1953125
1770474504.7520509,-39964.8203125
1770474505.7520509,-40068.8046875
1770474506.7520509,-40172.18359375
1770474507.7520509,-40274.359375
1770474508.7520509,-40375.4765625
1770474509.7520509,-40474.80078125
1770474510.7520509,-40573.34765625
1770474511.7520509,-40670.61328125
1770474512.7520509,-40768.67578125
1770474513.7520509,-40863.0234375
1770474514.7520509,-40957.46484375
1770474515.7520509,-41050.98046875
1770474516.7520509,-41142.8046875
